mutation_count,mouse_move_count,mouse_interaction_count,mouse_up_count,mouse_down_count,click_count,context_menu_count,dbl_click_count,focus_count,blur_count,touch_start_count,touch_move_departed_count,touch_end_count,touch_cancel_count,scroll_count,viewport_resize_count,input_count,touch_count,mutation_per_second,mouse_move_per_second,mouse_interaction_per_second,mouse_up_per_second,mouse_down_per_second,click_per_second,context_menu_per_second,dbl_click_per_second,focus_per_second,blur_per_second,touch_start_per_second,touch_move_departed_per_second,touch_end_per_second,touch_cancel_per_second,scroll_per_second,viewport_resize_per_second,input_per_second,touch_per_second,active_s,inactivity_s,DatesReha,Amounts,Dates,Table,Your Task,recording_id,step_id,workunit_id,class
39,12,11,1,1,1,0,0,4,4,0,0,0,0,0,0,9,0,3.607770583,1.110083256,1.017576318,0.092506938,0.092506938,0.092506938,0,0,0.370027752,0.370027752,0,0,0,0,0,0,0.832562442,0,10.81,0,0,1,0,0,0,015f0ec5-0f75-4c78-8725-3dabddc12116#863c3833-63a2-42e7-9a77-198e48027eb1#1873ec48f,1470,Amounts - 1/11,Reliable
15,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,4,0,10.956902849,0,2.92184076,0,0,0,0,0,1.46092038,1.46092038,0,0,0,0,0,0,2.92184076,0,1.369,0,0,1,0,0,0,015f0ec5-0f75-4c78-8725-3dabddc12116#863c3833-63a2-42e7-9a77-198e48027eb1#1873ec48f,1470,Amounts - 2/11,Reliable
15,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,4,0,12.345679012,0,3.29218107,0,0,0,0,0,1.646090535,1.646090535,0,0,0,0,0,0,3.29218107,0,1.215,0,0,1,0,0,0,015f0ec5-0f75-4c78-8725-3dabddc12116#863c3833-63a2-42e7-9a77-198e48027eb1#1873ec48f,1470,Amounts - 3/11,Reliable
14,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,4,0,10.646387833,0,3.041825095,0,0,0,0,0,1.520912548,1.520912548,0,0,0,0,0,0,3.041825095,0,1.315,0,0,1,0,0,0,015f0ec5-0f75-4c78-8725-3dabddc12116#863c3833-63a2-42e7-9a77-198e48027eb1#1873ec48f,1470,Amounts - 4/11,Reliable
12,7,10,2,2,2,0,0,2,2,0,0,0,0,0,0,2,0,2.458009013,1.433838591,2.048340844,0.409668169,0.409668169,0.409668169,0,0,0.409668169,0.409668169,0,0,0,0,0,0,0.409668169,0,4.882,0,0,1,0,0,0,2966e789-98c0-418e-bf2c-d4d2e128c451#97b81748-42d8-4831-aa83-fbf11206dce8#189ab8891,1470,Amounts - 10/11,Reliable
11,6,11,2,2,3,0,0,2,2,0,0,0,0,0,0,2,0,2.655721873,1.448575567,2.655721873,0.482858522,0.482858522,0.724287784,0,0,0.482858522,0.482858522,0,0,0,0,0,0,0.482858522,0,4.142,0,0,1,0,0,0,2966e789-98c0-418e-bf2c-d4d2e128c451#97b81748-42d8-4831-aa83-fbf11206dce8#189ab8891,1470,Amounts - 11/11,Reliable
4,4,7,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,2.084418968,2.084418968,3.647733194,0.521104742,0.521104742,0.521104742,0,0,1.042209484,1.042209484,0,0,0,0,0,0,0,0,1.919,0,0,1,0,0,0,2966e789-98c0-418e-bf2c-d4d2e128c451#97b81748-42d8-4831-aa83-fbf11206dce8#189ab8891,1470,Amounts - 3/11,Reliable
5,3,7,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,3.805175038,2.283105023,5.327245053,0.761035008,0.761035008,0.761035008,0,0,1.522070015,1.522070015,0,0,0,0,0,0,0,0,1.314,0,0,1,0,0,0,2966e789-98c0-418e-bf2c-d4d2e128c451#97b81748-42d8-4831-aa83-fbf11206dce8#189ab8891,1470,Amounts - 4/11,Reliable
4,2,7,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,3.086419753,1.543209877,5.401234568,0.771604938,0.771604938,0.771604938,0,0,1.543209877,1.543209877,0,0,0,0,0,0,0,0,1.296,0,0,1,0,0,0,2966e789-98c0-418e-bf2c-d4d2e128c451#97b81748-42d8-4831-aa83-fbf11206dce8#189ab8891,1470,Amounts - 5/11,Reliable
5,5,10,2,2,2,0,0,2,2,0,0,0,0,0,0,0,0,2.285191956,2.285191956,4.570383912,0.914076782,0.914076782,0.914076782,0,0,0.914076782,0.914076782,0,0,0,0,0,0,0,0,2.188,0,0,1,0,0,0,2966e789-98c0-418e-bf2c-d4d2e128c451#97b81748-42d8-4831-aa83-fbf11206dce8#189ab8891,1470,Amounts - 6/11,Reliable
