mutation_count,mouse_move_count,mouse_interaction_count,mouse_up_count,mouse_down_count,click_count,context_menu_count,dbl_click_count,focus_count,blur_count,touch_start_count,touch_move_departed_count,touch_end_count,touch_cancel_count,scroll_count,viewport_resize_count,input_count,touch_count,mutation_per_second,mouse_move_per_second,mouse_interaction_per_second,mouse_up_per_second,mouse_down_per_second,click_per_second,context_menu_per_second,dbl_click_per_second,focus_per_second,blur_per_second,touch_start_per_second,touch_move_departed_per_second,touch_end_per_second,touch_cancel_per_second,scroll_per_second,viewport_resize_per_second,input_per_second,touch_per_second,active_s,inactivity_s,Confidence,recording_id,step_id,workunit_id,class
15,3,7,1,1,3,0,0,1,1,0,0,0,0,6,0,1,0,4.674353381115612,0.9348706762231224,2.181364911187286,0.3116235587410408,0.3116235587410408,0.9348706762231224,0.0,0.0,0.3116235587410408,0.3116235587410408,0.0,0.0,0.0,0.0,1.869741352446245,0.0,0.3116235587410408,0.0,3.209,0.0,0.9510016,0e505004-28c3-4796-b866-589b3bd39a61#bd0f295c-1702-48c8-a6c7-7e44acf8c225#1621b525d,1470,Page 1 of Dates -  5/5,Reliable
74,16,21,2,2,2,0,0,8,7,0,0,0,0,2,2,13,0,0.996968676321994,0.2155607948804311,0.2829235432805658,0.0269450993600538,0.0269450993600538,0.0269450993600538,0.0,0.0,0.1077803974402155,0.0943078477601886,0.0,0.0,0.0,0.0,0.0269450993600538,0.0269450993600538,0.1751431458403503,0.0,74.225,0.0,0.6720723,0e69c014-b083-4769-8f94-bd6a8dc9478e#eecb38aa-a3b8-48d0-bdad-6a9088f7b19a#169c778bd,2289,Page 1 of DatesReha -  1/3,Reliable
44,8,11,1,1,1,0,0,4,4,0,0,0,0,0,0,14,0,2.442137980795915,0.4440250874174391,0.6105344951989787,0.0555031359271798,0.0555031359271798,0.0555031359271798,0.0,0.0,0.2220125437087195,0.2220125437087195,0.0,0.0,0.0,0.0,0.0,0.0,0.7770439029805184,0.0,18.017,0.0,0.7831539,0e69c014-b083-4769-8f94-bd6a8dc9478e#eecb38aa-a3b8-48d0-bdad-6a9088f7b19a#169c778bd,2289,Page 1 of DatesReha -  2/3,Reliable
52,10,12,1,1,2,0,0,4,4,0,0,0,0,17,0,19,0,2.946342568984078,0.5666043401892458,0.679925208227095,0.0566604340189245,0.0566604340189245,0.1133208680378491,0.0,0.0,0.2266417360756983,0.2266417360756983,0.0,0.0,0.0,0.0,0.963227378321718,0.0,1.076548246359567,0.0,17.649,0.0,0.77093536,0e69c014-b083-4769-8f94-bd6a8dc9478e#eecb38aa-a3b8-48d0-bdad-6a9088f7b19a#169c778bd,2289,Page 1 of DatesReha -  3/3,Reliable
38,2,13,1,1,1,0,0,5,5,0,0,0,0,0,0,14,0,7.575757575757576,0.3987240829346092,2.59170653907496,0.1993620414673046,0.1993620414673046,0.1993620414673046,0.0,0.0,0.9968102073365231,0.9968102073365231,0.0,0.0,0.0,0.0,0.0,0.0,2.7910685805422646,0.0,5.016,0.0,0.72567827,200ca269-bd14-4a51-91e2-1118413991b4#f1de1e9a-0ceb-4ff3-9c14-e166bb25e2a5#10ee70486,2289,Page 1 of DatesReha -  1/3,Reliable
32,0,13,1,1,1,0,0,5,5,0,0,0,0,0,0,13,0,10.072395341517154,0.0,4.091910607491344,0.3147623544224111,0.3147623544224111,0.3147623544224111,0.0,0.0,1.5738117721120557,1.5738117721120557,0.0,0.0,0.0,0.0,0.0,0.0,4.091910607491344,0.0,3.177,0.0,0.6918647,200ca269-bd14-4a51-91e2-1118413991b4#f1de1e9a-0ceb-4ff3-9c14-e166bb25e2a5#10ee70486,2289,Page 1 of DatesReha -  2/3,Reliable
27,3,15,2,2,3,0,0,4,4,0,0,0,0,6,0,9,0,5.460060667340748,0.6066734074823054,3.0333670374115265,0.4044489383215369,0.4044489383215369,0.6066734074823054,0.0,0.0,0.8088978766430738,0.8088978766430738,0.0,0.0,0.0,0.0,1.2133468149646107,0.0,1.820020222446916,0.0,4.945,0.0,0.8813372,200ca269-bd14-4a51-91e2-1118413991b4#f1de1e9a-0ceb-4ff3-9c14-e166bb25e2a5#10ee70486,2289,Page 1 of DatesReha -  3/3,Reliable
47,0,17,1,1,1,0,0,7,7,0,0,0,0,0,0,22,0,8.66678959985248,0.0,3.134796238244514,0.1843997787202655,0.1843997787202655,0.1843997787202655,0.0,0.0,1.2907984510418586,1.2907984510418586,0.0,0.0,0.0,0.0,0.0,0.0,4.056795131845842,0.0,5.423,0.0,0.6366929,23b682f3-b153-4de0-aa84-24199cbf1346#0a1c945e-a8b0-4004-9840-ab08858fd2f6#164ffeb6c,1470,Page 1 of Dates -  3/5,Reliable
42,0,15,1,1,1,0,0,6,6,0,0,0,0,0,0,18,0,7.790762381747356,0.0,2.782415136338342,0.1854943424225561,0.1854943424225561,0.1854943424225561,0.0,0.0,1.1129660545353366,1.1129660545353366,0.0,0.0,0.0,0.0,0.0,0.0,3.33889816360601,0.0,5.391,0.0,0.71543705,23b682f3-b153-4de0-aa84-24199cbf1346#0a1c945e-a8b0-4004-9840-ab08858fd2f6#164ffeb6c,1470,Page 1 of Dates -  4/5,Reliable
59,9,22,2,2,2,0,0,8,8,0,0,0,0,0,0,19,0,4.457876841707594,0.6800151114469211,1.662259161314696,0.1511144692104269,0.1511144692104269,0.1511144692104269,0.0,0.0,0.6044578768417076,0.6044578768417076,0.0,0.0,0.0,0.0,0.0,0.0,1.4355874574990557,0.0,13.235,0.0,0.58758384,26603fcf-180b-4ef7-937c-c227c9516944#066431a4-d2b9-465f-861f-3c0ce2c3cc41#134e20cb4,1470,Page 1 of Dates -  2/5,Reliable
61,10,24,2,2,2,0,0,9,9,0,0,0,0,0,0,24,0,3.535821933688848,0.5796429399489914,1.3911430558775797,0.1159285879897983,0.1159285879897983,0.1159285879897983,0.0,0.0,0.5216786459540923,0.5216786459540923,0.0,0.0,0.0,0.0,0.0,0.0,1.3911430558775797,0.0,17.252,0.0,0.4995539,26603fcf-180b-4ef7-937c-c227c9516944#066431a4-d2b9-465f-861f-3c0ce2c3cc41#134e20cb4,1470,Page 1 of Dates -  3/5,Reliable
43,10,20,2,2,2,0,0,7,7,0,0,0,0,0,0,16,0,3.766643307638402,0.8759635599159075,1.751927119831815,0.1751927119831814,0.1751927119831814,0.1751927119831814,0.0,0.0,0.6131744919411353,0.6131744919411353,0.0,0.0,0.0,0.0,0.0,0.0,1.401541695865452,0.0,11.416,0.0,0.6161771,26603fcf-180b-4ef7-937c-c227c9516944#066431a4-d2b9-465f-861f-3c0ce2c3cc41#134e20cb4,1470,Page 1 of Dates -  4/5,Reliable
54,20,18,2,2,2,0,0,6,6,0,0,0,0,27,0,8,0,3.0233469570572757,1.1197581322434351,1.0077823190190918,0.1119758132243435,0.1119758132243435,0.1119758132243435,0.0,0.0,0.3359274396730306,0.3359274396730306,0.0,0.0,0.0,0.0,1.5116734785286376,0.0,0.4479032528973741,0.0,17.861,0.0,0.6310474,27101964-8562-4911-ab96-84fc12bde09c#e6ff3183-a1c7-4328-9f8d-77db74be95cc#1495a97c7,2289,Page 1 of DatesReha -  1/3,Reliable
