mutation_count,mouse_move_count,mouse_interaction_count,mouse_up_count,mouse_down_count,click_count,context_menu_count,dbl_click_count,focus_count,blur_count,touch_start_count,touch_move_departed_count,touch_end_count,touch_cancel_count,scroll_count,viewport_resize_count,input_count,touch_count,mutation_per_second,mouse_move_per_second,mouse_interaction_per_second,mouse_up_per_second,mouse_down_per_second,click_per_second,context_menu_per_second,dbl_click_per_second,focus_per_second,blur_per_second,touch_start_per_second,touch_move_departed_per_second,touch_end_per_second,touch_cancel_per_second,scroll_per_second,viewport_resize_per_second,input_per_second,touch_per_second,active_s,inactivity_s,DatesReha,Amounts,Dates,Table,Your Task,recording_id,step_id,workunit_id,class
62,0,21,1,1,1,0,0,9,9,0,0,0,0,0,0,32,0,15.75203252,0,5.335365854,0.254065041,0.254065041,0.254065041,0,0,2.286585366,2.286585366,0,0,0,0,0,0,8.130081301,0,3.936,0,0,0,1,0,0,791f1575-0e7c-4491-9372-e23abca555f0#c68da506-bd70-4228-8205-26b981b33c3a#1d120686d,1470,Dates - 2/5,Reliable
18,4,4,0,0,0,0,0,2,2,0,0,0,0,0,0,9,0,5.964214712,1.325381047,1.325381047,0,0,0,0,0,0.662690524,0.662690524,0,0,0,0,0,0,2.982107356,0,3.018,0,0,1,0,0,0,7da4a117-8524-47fd-bda8-b11ff635cc09#0bfb8526-7396-497e-839f-e6e57ad2216d#1d83d2cfd,1470,Amounts - 1/11,Reliable
14,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,4,0,9.234828496,0,2.638522427,0,0,0,0,0,1.319261214,1.319261214,0,0,0,0,0,0,2.638522427,0,1.516,0,0,1,0,0,0,7da4a117-8524-47fd-bda8-b11ff635cc09#0bfb8526-7396-497e-839f-e6e57ad2216d#1d83d2cfd,1470,Amounts - 10/11,Reliable
15,3,8,1,1,2,0,0,2,2,0,0,0,0,0,0,4,0,5.422993492,1.084598698,2.892263196,0.361532899,0.361532899,0.723065799,0,0,0.723065799,0.723065799,0,0,0,0,0,0,1.446131598,0,2.766,0,0,1,0,0,0,7da4a117-8524-47fd-bda8-b11ff635cc09#0bfb8526-7396-497e-839f-e6e57ad2216d#1d83d2cfd,1470,Amounts - 11/11,Reliable
12,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,4,0,8.778346745,0,2.926115582,0,0,0,0,0,1.463057791,1.463057791,0,0,0,0,0,0,2.926115582,0,1.367,0,0,1,0,0,0,7da4a117-8524-47fd-bda8-b11ff635cc09#0bfb8526-7396-497e-839f-e6e57ad2216d#1d83d2cfd,1470,Amounts - 2/11,Reliable
14,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,4,0,6.050129646,0,1.72860847,0,0,0,0,0,0.864304235,0.864304235,0,0,0,0,0,0,1.72860847,0,2.314,0,0,1,0,0,0,7da4a117-8524-47fd-bda8-b11ff635cc09#0bfb8526-7396-497e-839f-e6e57ad2216d#1d83d2cfd,1470,Amounts - 3/11,Reliable
13,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,4,0,8.813559322,0,2.711864407,0,0,0,0,0,1.355932203,1.355932203,0,0,0,0,0,0,2.711864407,0,1.475,0,0,1,0,0,0,7da4a117-8524-47fd-bda8-b11ff635cc09#0bfb8526-7396-497e-839f-e6e57ad2216d#1d83d2cfd,1470,Amounts - 4/11,Reliable
14,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,4,0,10.550113037,0,3.014318011,0,0,0,0,0,1.507159005,1.507159005,0,0,0,0,0,0,3.014318011,0,1.327,0,0,1,0,0,0,7da4a117-8524-47fd-bda8-b11ff635cc09#0bfb8526-7396-497e-839f-e6e57ad2216d#1d83d2cfd,1470,Amounts - 5/11,Reliable
11,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,4,0,6.723716381,0,2.444987775,0,0,0,0,0,1.222493888,1.222493888,0,0,0,0,0,0,2.444987775,0,1.636,0,0,1,0,0,0,7da4a117-8524-47fd-bda8-b11ff635cc09#0bfb8526-7396-497e-839f-e6e57ad2216d#1d83d2cfd,1470,Amounts - 6/11,Reliable
15,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,4,0,7.403751234,0,1.974333662,0,0,0,0,0,0.987166831,0.987166831,0,0,0,0,0,0,1.974333662,0,2.026,0,0,1,0,0,0,7da4a117-8524-47fd-bda8-b11ff635cc09#0bfb8526-7396-497e-839f-e6e57ad2216d#1d83d2cfd,1470,Amounts - 7/11,Reliable
