mutation_count;mouse_move_count;mouse_interaction_count;mouse_up_count;mouse_down_count;click_count;context_menu_count;dbl_click_count;focus_count;blur_count;touch_start_count;touch_move_departed_count;touch_end_count;touch_cancel_count;scroll_count;viewport_resize_count;input_count;touch_count;mutation_per_second;mouse_move_per_second;mouse_interaction_per_second;mouse_up_per_second;mouse_down_per_second;click_per_second;context_menu_per_second;dbl_click_per_second;focus_per_second;blur_per_second;touch_start_per_second;touch_move_departed_per_second;touch_end_per_second;touch_cancel_per_second;scroll_per_second;viewport_resize_per_second;input_per_second;touch_per_second;active_s;inactivity_s;DatesReha;Amounts;Dates;Table;Your Task;Prediction;Confidence;recording_id;step_id;workunit_id;class
84;3;21;1;1;1;0;0;9;9;0;0;0;0;1;0;39;0;6.441.717.791.411.040;0.2300613496932515;16.104.294.478.527.600;0.0766871165644171;0.0766871165644171;0.0766871165644171;0.0;0.0;0.6901840490797546;0.6901840490797546;0.0;0.0;0.0;0.0;0.0766871165644171;0.0;299.079.754.601.227;0.0;13. Apr;13165;0;0;1;0;0;Reliable;0.9962488;31MCUE39BKYMYGWPVZSELQZUJCOG33#305afc7b-e54d-46ac-a5a2-53646588427a#1A3AOP0ZDOWGNVO;1468;Dates - 2/5;Reliable
62;36;79;13;13;13;0;0;20;20;0;0;0;0;6;0;13;0;2.885.465.630.381.160;16.754.316.563.503.500;36.766.416.903.243.800;0.6050169870154047;0.6050169870154047;0.6050169870154047;0.0;0.0;0.9307953646390842;0.9307953646390842;0.0;0.0;0.0;0.0;0.2792386093917252;0.0;0.6050169870154047;0.0;21487;0.0;0;0;1;0;0;Reliable;0.9788287;37SOB9Z0SS92K8AQ6QPUYI42FT63LS#1d130a12-afef-4733-a2b0-e179d2452f1b#1A3PEJNSRVXYSP4;1468;Dates - 1/5;Reliable
11;0;15;2;2;2;0;1;4;4;0;0;0;0;0;0;0;0;180.327.868.852.459;0.0;2.459.016.393.442.620;3.278.688.524.590.160;3.278.688.524.590.160;3.278.688.524.590.160;0.0;1.639.344.262.295.080;6.557.377.049.180.320;6.557.377.049.180.320;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.61;0.0;0;0;0;1;0;Reliable;0.65306324;391FPZIE4CYKX64JUP6XTZ1VBPHUHK#c06ec88f-eaba-405b-8f5c-a7edbc741fe0#1A4E9XS6S31L39;1468;Table - 6/7;Reliable
5;0;8;1;1;1;0;1;2;2;0;0;0;0;0;0;0;0;11.764.705.882.352.900;0.0;18.823.529.411.764.700;23.529.411.764.705.800;23.529.411.764.705.800;23.529.411.764.705.800;0.0;23.529.411.764.705.800;4.705.882.352.941.170;4.705.882.352.941.170;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;425;0.0;0;0;0;1;0;Reliable;0.7695951;39AYGO6AFFWR5R0T1537IDKBUFLN6X#cfbb0ab8-f11e-4f90-94cb-9abe8d638bc4#1A23NRUJRQE6D8Y;1468;Table - 6/7;Reliable
6;0;8;1;1;1;0;1;2;2;0;0;0;0;0;0;0;0;13.452.914.798.206.200;0.0;17.937.219.730.941.700;2.242.152.466.367.710;2.242.152.466.367.710;2.242.152.466.367.710;0.0;2.242.152.466.367.710;4.484.304.932.735.420;4.484.304.932.735.420;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;446;0.0;0;0;0;1;0;Reliable;0.781786;3d385bd1-c4ab-4294-ad8b-8097ff5b8e10#3a6f7b80-0831-4457-9cf5-3bd5f0e86bd8#10052e4cc;1470;Table - 6/7;Reliable
62;1;19;1;1;1;0;0;8;8;0;0;0;0;0;0;33;0;9.121.671.325.584.810;0.1471237310578196;2.795.350.890.098.570;0.1471237310578196;0.1471237310578196;0.1471237310578196;0.0;0.0;11.769.898.484.625.500;11.769.898.484.625.500;0.0;0.0;0.0;0.0;0.0;0.0;4.855.083.124.908.040;0.0;6797;0.0;0;0;1;0;0;Reliable;0.9949167;3D4BBDG7ZH89H4GKTDWVVZEFLKSC3L#3684eba6-d615-45df-b9f7-b986d3ece439#1A1NJ6Q940T7HEB;1468;Dates - 3/5;Reliable
2933;6;40;2;2;4;0;0;16;16;0;0;0;0;7;0;107;0;8.171.282.108.430.370;0.1671588566334206;11.143.923.775.561.300;0.0557196188778068;0.0557196188778068;0.1114392377556137;0.0;0.0;0.445756951022455;0.445756951022455;0.0;0.0;0.0;0.0;0.195018666072324;0.0;2.980.999.609.962.660;0.0;35894;0.0;0;0;0;0;1;Reliable;0.9980088;3e00dca5-97b1-41ce-8a40-be22aab2ed58#45faf2f6-4d7a-4e6a-83db-440eeee38a9b#1c011a61e;970;Your Task;Reliable
4;0;4;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;1.038.961.038.961.030;0.0;1.038.961.038.961.030;0.0;0.0;0.0;0.0;0.0;5.194.805.194.805.190;5.194.805.194.805.190;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;385;0.0;0;1;0;0;0;Reliable;0.9437944;3FHTJGYT8NCT551CTXPLYT2VO8CGPB#2047713e-18e9-4e64-94bb-e03dd61a4cd4#1A390TP4DJI9P9W;1468;Amounts - 4/11;Reliable
156;14;32;4;4;4;0;0;10;10;0;0;0;0;0;0;20;0;1.093.355.761.143.810;0.9812167087188092;2.242.781.048.500.130;0.280347631062517;0.280347631062517;0.280347631062517;0.0;0.0;0.7008690776562924;0.7008690776562924;0.0;0.0;0.0;0.0;0.0;0.0;14.017.381.553.125.800;0.0;14.268.000.000.000.000;438263;0;0;1;0;0;Reliable;0.9989151;3G9UA71JVV6EQ1ND5HG7VK3QG6UJ7I#57b4ecda-f5e5-4f85-b669-a69219de3ff7#1A1M6QYYOQQWNKW;1468;Dates - 1/5;Reliable
6;0;8;1;1;1;0;1;2;2;0;0;0;0;0;0;0;0;14.527.845.036.319.600;0.0;1.937.046.004.842.610;24.213.075.060.532.600;24.213.075.060.532.600;24.213.075.060.532.600;0.0;24.213.075.060.532.600;4.842.615.012.106.530;4.842.615.012.106.530;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;413;0.0;0;0;0;1;0;Reliable;0.76173943;3HXK2V1N4KRXDY06RZE92GU2DY92GZ#6e793866-eb75-4031-ab43-53697d35dae7#1AJ91Y71JCKQ8O;1468;Table - 4/7;Reliable
